metric,cost,coverage,risk
standard,0.0,0.0,1.0
standard,0.01,0.0012262415839359164,0.0
standard,0.02,0.0012262415839359164,0.0
standard,0.03,0.0012262415839359164,0.0
standard,0.04,0.0012262415839359164,0.0
standard,0.05,0.0012262415839359164,0.0
standard,0.06,0.0012262415839359164,0.0
standard,0.07,0.0012262415839359164,0.0
standard,0.08,0.25260576605796814,0.021844685077667236
standard,0.09,0.25260576605796814,0.021844685077667236
standard,0.1,0.25260576605796814,0.021844685077667236
standard,0.11,0.25260576605796814,0.021844685077667236
standard,0.12,0.25260576605796814,0.021844685077667236
standard,0.13,0.3237277865409851,0.03409093618392944
standard,0.14,0.3237277865409851,0.03409093618392944
standard,0.15,0.3237277865409851,0.03409093618392944
standard,0.16,0.3237277865409851,0.03409093618392944
standard,0.17,0.3237277865409851,0.03409093618392944
standard,0.18,0.3237277865409851,0.03409093618392944
standard,0.19,0.3237277865409851,0.03409093618392944
standard,0.2,0.3237277865409851,0.03409093618392944
standard,0.21,0.4598405957221985,0.05733335018157959
standard,0.22,0.4598405957221985,0.05733335018157959
standard,0.23,0.4598405957221985,0.05733335018157959
standard,0.24,0.4598405957221985,0.05733335018157959
standard,0.25,0.4598405957221985,0.05733335018157959
standard,0.26,0.4598405957221985,0.05733335018157959
standard,0.27,0.4598405957221985,0.05733335018157959
standard,0.28,0.4598405957221985,0.05733335018157959
standard,0.29,0.4598405957221985,0.05733335018157959
standard,0.3,0.4598405957221985,0.05733335018157959
standard,0.31,0.4598405957221985,0.05733335018157959
standard,0.32,0.4598405957221985,0.05733335018157959
standard,0.33,0.4598405957221985,0.05733335018157959
standard,0.34,0.4598405957221985,0.05733335018157959
standard,0.35000000000000003,0.4598405957221985,0.05733335018157959
standard,0.36,0.4598405957221985,0.05733335018157959
standard,0.37,0.4598405957221985,0.05733335018157959
standard,0.38,0.4598405957221985,0.05733335018157959
standard,0.39,0.47332924604415894,0.060880839824676514
standard,0.4,0.47332924604415894,0.060880839824676514
standard,0.41000000000000003,0.47332924604415894,0.060880839824676514
standard,0.42,0.47332924604415894,0.060880839824676514
standard,0.43,0.5561005473136902,0.09922820329666138
standard,0.44,0.5561005473136902,0.09922820329666138
standard,0.45,0.5561005473136902,0.09922820329666138
standard,0.46,0.5573267936706543,0.1001099944114685
standard,0.47000000000000003,0.5573267936706543,0.1001099944114685
standard,0.48,0.5573267936706543,0.1001099944114685
standard,0.49,0.5573267936706543,0.1001099944114685
standard,0.5,0.649294912815094,0.14353162050247192
standard,0.51,0.649294912815094,0.14353162050247192
standard,0.52,0.649294912815094,0.14353162050247192
standard,0.53,0.820968747138977,0.23002243041992188
standard,0.54,0.8865726590156555,0.27040112018585205
standard,0.55,0.8865726590156555,0.27040112018585205
standard,0.56,0.8865726590156555,0.27040112018585205
standard,0.5700000000000001,0.9981606602668762,0.335995078086853
standard,0.58,0.9981606602668762,0.335995078086853
standard,0.59,0.9981606602668762,0.335995078086853
standard,0.6,0.9981606602668762,0.335995078086853
standard,0.61,0.9981606602668762,0.335995078086853
standard,0.62,0.9981606602668762,0.335995078086853
standard,0.63,0.9981606602668762,0.335995078086853
standard,0.64,0.9981606602668762,0.335995078086853
standard,0.65,0.9981606602668762,0.335995078086853
standard,0.66,0.9981606602668762,0.335995078086853
standard,0.67,1.0,0.33721643686294556
standard,0.68,1.0,0.33721643686294556
standard,0.6900000000000001,1.0,0.33721643686294556
standard,0.7000000000000001,1.0,0.33721643686294556
standard,0.71,1.0,0.33721643686294556
standard,0.72,1.0,0.33721643686294556
standard,0.73,1.0,0.33721643686294556
standard,0.74,1.0,0.33721643686294556
standard,0.75,1.0,0.33721643686294556
standard,0.76,1.0,0.33721643686294556
standard,0.77,1.0,0.33721643686294556
standard,0.78,1.0,0.33721643686294556
standard,0.79,1.0,0.33721643686294556
standard,0.8,1.0,0.33721643686294556
balanced,0.0,0.12507663667201996,0.009950250387191772
balanced,0.01,0.12507663667201996,0.009950250387191772
balanced,0.02,0.14653587341308594,0.008474588394165039
balanced,0.03,0.14653587341308594,0.008474588394165039
balanced,0.04,0.14653587341308594,0.008474588394165039
balanced,0.05,0.14653587341308594,0.008474588394165039
balanced,0.06,0.14653587341308594,0.008474588394165039
balanced,0.07,0.14653587341308594,0.008474588394165039
balanced,0.08,0.14653587341308594,0.008474588394165039
balanced,0.09,0.14653587341308594,0.008474588394165039
balanced,0.1,0.14653587341308594,0.008474588394165039
balanced,0.11,0.14653587341308594,0.008474588394165039
balanced,0.12,0.14653587341308594,0.008474588394165039
balanced,0.13,0.15328019857406616,0.008097171783447266
balanced,0.14,0.15328019857406616,0.008097171783447266
balanced,0.15,0.15328019857406616,0.008097171783447266
balanced,0.16,0.15328019857406616,0.008097171783447266
balanced,0.17,0.15328019857406616,0.008097171783447266
balanced,0.18,0.15328019857406616,0.008097171783447266
balanced,0.19,0.15328019857406616,0.008097171783447266
balanced,0.2,0.15328019857406616,0.008097171783447266
balanced,0.21,0.15328019857406616,0.008097171783447266
balanced,0.22,0.15328019857406616,0.008097171783447266
balanced,0.23,0.15328019857406616,0.008097171783447266
balanced,0.24,0.15328019857406616,0.008097171783447266
balanced,0.25,0.15328019857406616,0.008097171783447266
balanced,0.26,0.15328019857406616,0.008097171783447266
balanced,0.27,0.15328019857406616,0.008097171783447266
balanced,0.28,0.15328019857406616,0.008097171783447266
balanced,0.29,0.15328019857406616,0.008097171783447266
balanced,0.3,0.15328019857406616,0.008097171783447266
balanced,0.31,0.15328019857406616,0.008097171783447266
