coverage,balanced_error,worst_error
0.19997546313335787,0.11232945633194236,0.19047619047619047
0.20991289412342043,0.13051025351202972,0.2272727272727273
0.21997300944669365,0.1302936194240542,0.2272727272727273
0.22991044043675624,0.1309149813469468,0.2272727272727273
0.23997055576002946,0.1301823822506346,0.2272727272727273
0.24990798675009201,0.13075795172569366,0.2272727272727273
0.25996810207336524,0.14242243436754176,0.25
0.2699055330634278,0.14246323529411764,0.25
0.279965648386701,0.13971643774922465,0.24
0.2899030793767636,0.131873097412481,0.2222222222222222
0.2999631947000368,0.14754861398427804,0.25
0.30990062569009935,0.14801841473178545,0.25
0.3199607410133726,0.13541001664851604,0.22580645161290325
0.3298981720034352,0.1479582235604065,0.25
0.33995828732670835,0.1557362075264888,0.2647058823529411
0.34989571831677097,0.183836456813676,0.3157894736842105
0.3599558336400442,0.2010884588804423,0.35
0.36989326463010674,0.20932225630258994,0.36585365853658536
0.37995337995337997,0.20590367079728777,0.3571428571428571
0.3898908109434425,0.21697698336702487,0.37777777777777777
0.39995092626671574,0.21567559153175592,0.375
0.4098883572567783,0.23008204193254334,0.4
0.4199484725800515,0.24372475640645325,0.42307692307692313
0.4298859035701141,0.2522496639342102,0.4363636363636364
0.4399460188933873,0.26002552467385137,0.44999999999999996
0.44988344988344986,0.26611385395924825,0.4590163934426229
0.4599435652067231,0.28415601770650634,0.49230769230769234
0.4698809961967857,0.29385890108321006,0.5074626865671642
0.4799411115200589,0.29926215277777773,0.5138888888888888
0.4898785425101215,0.31505213442081076,0.5394736842105263
0.4999386578333947,0.31425777823976925,0.5324675324675325
0.5099987731566679,0.31646035224514374,0.5316455696202531
0.5199362041467305,0.3279272987628818,0.5487804878048781
0.5299963194700037,0.3347666261972211,0.5595238095238095
0.5399337504600662,0.3344025989081635,0.5568181818181819
0.5499938657833394,0.3428932975099554,0.5684210526315789
0.559931296773402,0.3528405092444501,0.5816326530612245
0.5699914120966753,0.358137122267318,0.5858585858585859
0.5799288430867379,0.3572156862745098,0.5784313725490196
0.5899889584100111,0.3558673469387755,0.5714285714285714
0.5999263894000736,0.3632940281475846,0.5818181818181818
0.6099865047233468,0.3804864762942322,0.6101694915254237
0.6199239357134094,0.382125,0.608
0.6299840510366826,0.3886113886113886,0.6153846153846154
0.6399214820267451,0.39258337193144976,0.6176470588235294
0.6499815973500184,0.3983472165492885,0.624113475177305
0.659919028340081,0.40697012374054015,0.636986301369863
0.6699791436633542,0.407798280298751,0.6333333333333333
0.6799165746534167,0.4093887315691827,0.631578947368421
0.6899766899766899,0.4123720760233918,0.631578947368421
0.6999141209667525,0.4198099911742009,0.641025641025641
0.7099742362900258,0.42858271604938275,0.654320987654321
0.7199116672800884,0.4290096406660824,0.6503067484662577
0.7299717826033616,0.43490038994150876,0.6566265060240963
0.7399092135934241,0.44154932404628805,0.6647058823529413
0.7499693289166973,0.44339687822346785,0.6647398843930636
0.7599067599067599,0.4457961343242998,0.6647727272727273
0.7699668752300332,0.4510225284339458,0.6722222222222223
0.7799043062200957,0.45663487205854386,0.6793478260869565
0.7899644215433689,0.46598827855280184,0.6910994764397906
0.7999018525334315,0.47035240858529653,0.694300518134715
0.8099619678567047,0.47319118112000896,0.6974358974358974
0.8198993988467672,0.47667995573441274,0.700507614213198
0.8299595141700404,0.47852725412243335,0.700507614213198
0.839896945160103,0.4818975101917051,0.7014925373134329
0.8499570604833763,0.4851610275490131,0.7038834951456311
0.8598944914734389,0.48770405291303126,0.7033492822966507
0.8699546067967121,0.48798866443830835,0.7
0.8798920377867746,0.49265010959563965,0.704225352112676
0.8899521531100478,0.49767334470019886,0.7083333333333333
0.8998895841001104,0.5009022423441382,0.7104072398190044
0.9099496994233837,0.5063698108377852,0.7168141592920354
0.9198871304134462,0.5088726744407964,0.7180616740088106
0.9299472457367194,0.5133185448092281,0.7217391304347827
0.939884676726782,0.5178171100649208,0.7253218884120172
0.9499447920500552,0.5223083770483543,0.73109243697479
0.9598822230401178,0.525468631241645,0.7344398340248963
0.9699423383633909,0.529411543577739,0.7366255144032922
0.9798797693534536,0.5326132752374964,0.7377049180327868
0.9899398846767268,0.5350505420834861,0.7377049180327868
1.0,0.5379938770347501,0.7387755102040816
